Gene stable ID,WikiGene name
ENSMMUG00000003061,CCDC80
ENSMMUG00000005306,TRIM11
ENSMMUG00000016099,HHAT
ENSMMUG00000007969,CD160
ENSMMUG00000021544,SLC6A17
ENSMMUG00000023401,ADGRB2
ENSMMUG00000007760,CEP70
ENSMMUG00000010516,LZTFL1
ENSMMUG00000016220,TRIT1
ENSMMUG00000005307,TRIM17
ENSMMUG00000020434,CSF3R
ENSMMUG00000051713,ACKR4
ENSMMUG00000022936,DRD3
ENSMMUG00000008513,WDR3
ENSMMUG00000019642,PDZK1
ENSMMUG00000021771,UBA5
ENSMMUG00000015910,MBNL1
ENSMMUG00000023052,MYOM3
ENSMMUG00000019323,ATP11B
ENSMMUG00000005585,TMCO1
ENSMMUG00000023588,CCR9
ENSMMUG00000016102,KCNH1
ENSMMUG00000020471,ACTN2
ENSMMUG00000022533,MLH1
ENSMMUG00000053022,HIST3H2BB
ENSMMUG00000053859,UCK2
ENSMMUG00000058753,CNBP
ENSMMUG00000014236,SLC35A5
ENSMMUG00000048590,RNF187
ENSMMUG00000001742,TGFBR3
ENSMMUG00000012574,ITPR1
ENSMMUG00000019640,GPR89A
ENSMMUG00000001953,QTRT2
ENSMMUG00000005426,STRIP1
ENSMMUG00000014523,ITIH4
ENSMMUG00000023143,PKLR
ENSMMUG00000018869,PPIE
ENSMMUG00000013487,SH3GLB1
ENSMMUG00000023289,PLD1
ENSMMUG00000017789,POGK
ENSMMUG00000006224,PIK3CD
ENSMMUG00000023585,FYCO1
ENSMMUG00000009107,ALCAM
ENSMMUG00000044273,HPCAL4
ENSMMUG00000020383,RCOR3
ENSMMUG00000022539,LRRFIP2
ENSMMUG00000023141,CLK2
ENSMMUG00000056128,NT5C1A
ENSMMUG00000001946,ZDHHC23
ENSMMUG00000008664,FAIM
ENSMMUG00000020432,OSCP1
ENSMMUG00000017790,TADA1
ENSMMUG00000018313,SCAMP3
ENSMMUG00000010552,DCUN1D1
ENSMMUG00000001943,GRAMD1C
ENSMMUG00000031427,TRAF5
ENSMMUG00000038562,SRSF10
ENSMMUG00000007182,LRRC42
ENSMMUG00000017338,LSM10
ENSMMUG00000007497,PABPC4
ENSMMUG00000043999,TMEM201
ENSMMUG00000043999,SLC25A33
ENSMMUG00000014232,ATG3
ENSMMUG00000018309,FAM189B
ENSMMUG00000013783,PNRC2
ENSMMUG00000019854,TMEM108
ENSMMUG00000022715,AHCYL1
ENSMMUG00000016212,STK40
ENSMMUG00000023587,CXCR6
ENSMMUG00000056449,SLC30A1
ENSMMUG00000019857,BFSP2
ENSMMUG00000008507,GBA
ENSMMUG00000023584,XCR1
ENSMMUG00000010306,CLCA4
ENSMMUG00000004217,CNR2
ENSMMUG00000015135,HEATR1
ENSMMUG00000013878,RNF2
ENSMMUG00000010553,MCCC1
ENSMMUG00000056769,CCR1
ENSMMUG00000016076,CD200
ENSMMUG00000008666,PIK3CB
ENSMMUG00000011688,SH3D21
ENSMMUG00000005216,NEK2
ENSMMUG00000020740,ATP6V1A
ENSMMUG00000001415,DIO1
ENSMMUG00000023462,ILDR2
ENSMMUG00000021447,TNFRSF1B
ENSMMUG00000019548,HMGCL
ENSMMUG00000006338,ACAD9
ENSMMUG00000013879,TRMT1L
ENSMMUG00000055383,CCR5
ENSMMUG00000031540,P2RY1
ENSMMUG00000006836,CLCA2
ENSMMUG00000002680,CSF1
ENSMMUG00000002052,SPSB1
ENSMMUG00000017396,BPNT1
ENSMMUG00000014260,CCRL2
ENSMMUG00000062859,SEC22B
ENSMMUG00000014622,THRAP3
ENSMMUG00000003902,THBS3
ENSMMUG00000014231,BTLA
ENSMMUG00000055908,NAA50
ENSMMUG00000015779,RAP2B
ENSMMUG00000000059,TOPBP1
ENSMMUG00000006819,HFM1
ENSMMUG00000008509,GDAP2
ENSMMUG00000007783,IARS2
ENSMMUG00000010555,LAMP3
ENSMMUG00000016711,H6PD
ENSMMUG00000001798,RAB7A
ENSMMUG00000006389,ZSCAN20
ENSMMUG00000021859,ZPLD1
ENSMMUG00000003546,YIPF1
ENSMMUG00000003546,NDC1
ENSMMUG00000019549,GALE
ENSMMUG00000013882,SWT1
ENSMMUG00000014527,SFMBT1
ENSMMUG00000021918,GOLGA4
ENSMMUG00000023675,HYI
ENSMMUG00000016075,SLC9C1
ENSMMUG00000001456,MCF2L2
ENSMMUG00000003269,PHC2
ENSMMUG00000023463,MAEL
ENSMMUG00000018375,NOTCH2
ENSMMUG00000013454,SIDT1
ENSMMUG00000009036,ARHGEF26
ENSMMUG00000010174,INTS7
ENSMMUG00000019551,LYPLA2
ENSMMUG00000041181,PCP4
ENSMMUG00000022500,MAP7D1
ENSMMUG00000023674,SZT2
ENSMMUG00000001380,ODF2L
ENSMMUG00000003048,MRPS22
ENSMMUG00000007635,ZNF644
ENSMMUG00000008029,GSTM3
ENSMMUG00000004907,TENT5C
ENSMMUG00000012729,LYST
ENSMMUG00000011347,DHX36
ENSMMUG00000019554,PITHD1
ENSMMUG00000003428,B3GALT5
ENSMMUG00000003267,ZNF362
ENSMMUG00000021567,NFKBIZ
ENSMMUG00000021567,NXPE3
ENSMMUG00000016307,SLC2A5
ENSMMUG00000013884,IVNS1ABP
ENSMMUG00000023449,MFN2
ENSMMUG00000021371,GATA2
ENSMMUG00000008155,POU2F1
ENSMMUG00000017314,NEGR1
ENSMMUG00000003051,COPB2
ENSMMUG00000022240,NR1D2
ENSMMUG00000031605,B3GNT5
ENSMMUG00000022115,KLHL6
ENSMMUG00000020654,GET1
ENSMMUG00000020654,SH3BGR
ENSMMUG00000004189,FNDC3B
ENSMMUG00000019687,CA6
ENSMMUG00000056924,GPR149
ENSMMUG00000006353,RPL15
ENSMMUG00000015062,CEP97
ENSMMUG00000020851,GSTM5
ENSMMUG00000020851,GSTM2
ENSMMUG00000016964,VTCN1
ENSMMUG00000006285,AZIN2
ENSMMUG00000022499,TRAPPC3
ENSMMUG00000015976,TRIM45
ENSMMUG00000009562,MACF1
ENSMMUG00000021247,ALS2CL
ENSMMUG00000006352,NKIRAS1
ENSMMUG00000012911,YBEY
ENSMMUG00000008918,SRPRB
ENSMMUG00000004194,GHSR
ENSMMUG00000023397,PEF1
ENSMMUG00000018662,RUVBL1
ENSMMUG00000007612,LRP8
ENSMMUG00000019302,TNFSF10
ENSMMUG00000023396,HCRTR1
ENSMMUG00000063120,CREG1
ENSMMUG00000021927,ITGA9
ENSMMUG00000013203,ZNHIT6
ENSMMUG00000010474,HMCN1
ENSMMUG00000008919,RAB6B
ENSMMUG00000032249,PLOD1
ENSMMUG00000007230,PRKCD
ENSMMUG00000000290,NMNAT3
ENSMMUG00000000290,RBP1
ENSMMUG00000006662,MME
ENSMMUG00000006284,AK2
ENSMMUG00000022331,MCM3AP
ENSMMUG00000015059,RPL24
ENSMMUG00000018661,SEC61A1
